Country,Year,LifeExpectancy,AdultMortality,InfantMortality,GDP,HealthExpenditure,BMI,HIV_AIDS,IncomeLevel,Schooling,MortalityHealthInteraction,EducationIncomeInteraction,DevelopmentIndex,HealthEfficiency
Afghanistan,1.561308373,-0.613632878,1.149943067,1.747340135,-0.430811423,-0.250997062,-0.977252266,-0.6174112,-1.211491539,-0.615823854,-0.288632331,0.746065389,-0.752708939,-1.400940129
Afghanistan,1.342930875,-1.38121075,1.239457041,1.77030513,-0.392851992,-0.236686402,-1.00368309,-0.6174112,-1.235961551,-0.658406321,-0.293362627,0.813764897,-0.762406621,-1.476143442
Afghanistan,1.124553377,-1.38121075,1.2058893,1.792574108,-0.368396591,-0.238627299,-1.030113914,-0.6174112,-1.284901575,-0.700988787,-0.287758106,0.900701596,-0.784762317,-1.444516599
Albania,1.561308373,1.312837076,-0.964824573,-1.297118305,1.097895559,1.622022817,1.07906585,-0.6174112,1.096846256,1.130057268,-1.564967471,1.239499083,1.108266361,2.58684739
Albania,1.342930875,1.267685437,-1.703314859,-1.297118305,1.214667582,2.028735293,1.036776531,-0.6174112,1.088689586,1.130057268,-3.455574969,1.230281578,1.144471478,3.732050152
Albania,1.124553377,1.222533797,-0.852932105,-1.297118305,1.186008975,2.042305877,0.999773378,-0.6174112,1.072376244,1.130057268,-1.74194825,1.211846569,1.129480829,2.895237982
Albania,0.906175879,1.177382158,-0.830553611,-1.297118305,1.155143663,1.924746948,0.962770224,-0.6174112,1.01527955,1.130057268,-1.598605528,1.147324034,1.10016016,2.755300559
Albania,0.68779838,1.132230518,-0.808175118,-1.297118305,1.190067261,2.081750987,0.92576707,-0.6174112,0.901086161,0.74681507,-1.682419349,0.672944724,0.945989497,2.889926105
Albania,0.469420882,1.072028332,-0.774607378,-0.787779863,-0.564239497,-0.438855836,0.883477752,-0.6174112,0.795049442,0.406155339,0.339940969,0.322913576,0.212321761,0.335751541
Albania,0.251043384,1.056977786,-0.774607378,-0.787779863,1.129605015,1.514121502,0.841188433,-0.6174112,0.76242276,0.27840794,-1.172849686,0.21226455,0.723478572,2.288728879
Albania,0.032665886,0.936573413,-1.781639587,-0.787779863,-0.66171265,-0.472022807,0.79361295,-0.6174112,0.697169394,0.193243007,0.840974518,0.13472311,0.07623325,1.30961678
Albania,-0.185711612,1.026876693,-1.692125612,-0.787779863,-0.810460316,-0.499927306,0.746037466,-0.6174112,0.615602688,0.022913142,0.845939799,0.014105392,-0.057314829,1.192198307
Albania,-0.40408911,0.771017402,-0.685093403,-0.787779863,-2.658941134,-0.684517855,-1.680312187,-0.6174112,0.558505993,-0.062251791,0.468958667,-0.034767998,-0.720895644,0.000575548
Albania,-0.622466608,0.665663576,-1.624990132,-0.787779863,-1.020260099,-0.533430635,0.650886499,-0.6174112,0.468782616,-0.31774659,0.866819517,-0.148954077,-0.289741358,1.091559497
Albania,-0.840844106,0.590410844,-1.602611638,-0.787779863,0.704051449,0.709207373,0.598024851,-0.6174112,0.436155933,-0.275164123,-1.136583989,-0.120014465,0.288347753,2.311819011
